,전국[호],서울[호],부산[호],대구[호],인천[호],광주[호],대전[호],울산[호],경기[호],강원[호],충북[호],충남[호],전북[호],전남[호],경북[호],경남[호],제주[호],수도권[호],세종[호]
2007-01-01,75616.0,697.0,8680.0,9467.0,243.0,7005.0,819.0,1180.0,3604.0,5312.0,2548.0,7449.0,5179.0,5374.0,6210.0,11772.0,77.0,4544.0,
2007-02-01,73619.0,590.0,8653.0,9134.0,312.0,6246.0,803.0,1210.0,3361.0,5344.0,2645.0,7363.0,5098.0,5253.0,5948.0,11563.0,96.0,4263.0,
2007-03-01,73162.0,687.0,8548.0,9189.0,266.0,5905.0,1048.0,1687.0,2579.0,5801.0,2565.0,7446.0,5184.0,4887.0,5854.0,11328.0,188.0,3532.0,
2007-04-01,73393.0,685.0,8074.0,9009.0,219.0,5829.0,1020.0,1521.0,2488.0,5460.0,3632.0,8250.0,4812.0,4664.0,5419.0,12149.0,162.0,3392.0,
2007-05-01,78571.0,704.0,7964.0,10888.0,362.0,7842.0,957.0,1500.0,2488.0,5212.0,4012.0,9195.0,4625.0,4640.0,6303.0,11723.0,156.0,3554.0,
2007-06-01,89924.0,778.0,9212.0,12489.0,883.0,8272.0,1179.0,1528.0,3899.0,6642.0,4078.0,11245.0,4662.0,5168.0,7665.0,12072.0,152.0,5560.0,
2007-07-01,90658.0,840.0,9557.0,12179.0,797.0,7186.0,1191.0,1741.0,3883.0,6850.0,4263.0,10707.0,5289.0,5041.0,8541.0,12414.0,179.0,5520.0,
2007-08-01,91714.0,730.0,9925.0,12075.0,635.0,7433.0,1478.0,1564.0,4452.0,6625.0,4378.0,10930.0,5202.0,5150.0,8389.0,12576.0,172.0,5817.0,
2007-09-01,98235.0,724.0,10739.0,11944.0,507.0,7294.0,2095.0,3240.0,7906.0,6558.0,4167.0,10963.0,4903.0,5532.0,8683.0,12811.0,169.0,9137.0,
2007-10-01,100887.0,977.0,12012.0,11879.0,330.0,7600.0,2088.0,3590.0,8573.0,6673.0,4152.0,11332.0,4536.0,5641.0,8676.0,12694.0,134.0,9880.0,
2007-11-01,101500.0,1081.0,11213.0,12212.0,308.0,7911.0,2017.0,3536.0,9453.0,6739.0,4234.0,11500.0,4030.0,4726.0,8523.0,13884.0,133.0,10842.0,
2007-12-01,112254.0,454.0,11502.0,12199.0,527.0,7940.0,1881.0,7672.0,13643.0,7114.0,4374.0,12770.0,4082.0,4456.0,8662.0,14857.0,121.0,14624.0,
2008-01-01,123371.0,524.0,10860.0,13434.0,509.0,8009.0,2442.0,6922.0,20691.0,6861.0,5333.0,14075.0,4186.0,4291.0,10516.0,14602.0,116.0,21724.0,
2008-02-01,129652.0,788.0,12184.0,15638.0,1487.0,7779.0,2414.0,7350.0,21178.0,6583.0,5503.0,14888.0,4315.0,4375.0,10591.0,14400.0,179.0,23453.0,
2008-03-01,131757.0,799.0,13289.0,15557.0,1594.0,8009.0,2890.0,8496.0,20685.0,6239.0,5459.0,15633.0,4120.0,4116.0,10844.0,13872.0,155.0,23078.0,
2008-04-01,129859.0,764.0,13642.0,15873.0,1365.0,7279.0,2343.0,9105.0,18104.0,6264.0,5688.0,16227.0,3756.0,3890.0,11858.0,13549.0,152.0,20233.0,
2008-05-01,128170.0,1016.0,12611.0,16590.0,1116.0,6952.0,2270.0,9575.0,17661.0,6217.0,5436.0,16910.0,3281.0,3616.0,11124.0,13648.0,147.0,19793.0,
2008-06-01,147230.0,1090.0,11542.0,20535.0,1099.0,7490.0,3076.0,9633.0,16733.0,11246.0,6074.0,16750.0,3163.0,7313.0,13813.0,17380.0,293.0,18922.0,
2008-07-01,160595.0,1437.0,13612.0,21378.0,1026.0,10774.0,3000.0,9718.0,20514.0,10769.0,6523.0,16646.0,4004.0,7853.0,15177.0,17832.0,332.0,22977.0,
2008-08-01,157291.0,1491.0,12971.0,21410.0,976.0,11043.0,2718.0,9728.0,19922.0,10377.0,6298.0,16069.0,3594.0,7697.0,15464.0,17214.0,319.0,22389.0,
2008-09-01,157241.0,1530.0,12619.0,21403.0,933.0,10628.0,2619.0,9520.0,22455.0,10125.0,5732.0,16186.0,3541.0,7170.0,15483.0,17000.0,297.0,24918.0,
2008-10-01,155720.0,1981.0,12407.0,21246.0,921.0,11323.0,2788.0,9449.0,22360.0,9383.0,5346.0,15662.0,3428.0,6844.0,15153.0,17140.0,289.0,25262.0,
2008-11-01,162570.0,2263.0,14292.0,21324.0,1492.0,12672.0,4008.0,9471.0,22111.0,10930.0,6565.0,15277.0,3236.0,6725.0,15054.0,16877.0,273.0,25866.0,
2008-12-01,165599.0,2486.0,13997.0,21379.0,1647.0,12384.0,3802.0,9569.0,22795.0,10581.0,6412.0,15918.0,4617.0,6530.0,16106.0,17107.0,269.0,26928.0,
2009-01-01,162693.0,2511.0,13882.0,21560.0,1605.0,12395.0,3715.0,9486.0,21415.0,10072.0,6291.0,16349.0,4579.0,6069.0,16189.0,16311.0,264.0,25531.0,
2009-02-01,161972.0,2460.0,13763.0,21380.0,2320.0,12669.0,3676.0,9668.0,20405.0,9940.0,6385.0,16926.0,4392.0,6221.0,15468.0,16043.0,256.0,25185.0,
2009-03-01,165641.0,2459.0,13828.0,20402.0,2101.0,12821.0,3360.0,9577.0,24040.0,9780.0,8087.0,18251.0,4264.0,5944.0,15985.0,14460.0,282.0,28600.0,
2009-04-01,163856.0,2295.0,14790.0,20691.0,2157.0,11384.0,3169.0,9084.0,24704.0,9746.0,7403.0,17939.0,4876.0,5843.0,14871.0,14479.0,425.0,29156.0,
2009-05-01,151938.0,2136.0,13602.0,19851.0,2016.0,8565.0,3012.0,7991.0,23192.0,9249.0,6821.0,17229.0,4643.0,6178.0,14929.0,12124.0,400.0,27344.0,
2009-06-01,145585.0,2085.0,12685.0,19257.0,1840.0,8209.0,3696.0,8032.0,21699.0,8987.0,6262.0,16063.0,4395.0,5789.0,14233.0,11988.0,365.0,25624.0,
2009-07-01,140186.0,2060.0,12253.0,18473.0,1702.0,7264.0,3428.0,7962.0,20248.0,8788.0,6245.0,16342.0,4206.0,5510.0,13943.0,11430.0,332.0,24010.0,
2009-08-01,133779.0,1960.0,11451.0,17920.0,1664.0,6799.0,3150.0,7769.0,19738.0,8577.0,6027.0,14595.0,3899.0,5376.0,13582.0,10948.0,324.0,23362.0,
2009-09-01,126424.0,1887.0,10436.0,17043.0,1541.0,6102.0,3300.0,7478.0,17534.0,7817.0,5568.0,14195.0,4194.0,5380.0,13311.0,10340.0,298.0,20962.0,
2009-10-01,120437.0,1778.0,9891.0,16467.0,1432.0,5751.0,2928.0,7488.0,16638.0,7530.0,5425.0,13656.0,3954.0,5067.0,12678.0,9427.0,327.0,19848.0,
2009-11-01,122542.0,1814.0,9287.0,16119.0,4578.0,4974.0,2776.0,8025.0,16473.0,7353.0,5351.0,14148.0,3743.0,6232.0,12525.0,8818.0,326.0,22865.0,
2009-12-01,123297.0,1803.0,9200.0,16009.0,4539.0,4678.0,3101.0,7106.0,19325.0,7157.0,5128.0,14277.0,3498.0,5690.0,12808.0,8698.0,280.0,25667.0,
2010-01-01,119039.0,1803.0,8279.0,15875.0,3591.0,4304.0,3042.0,7041.0,20432.0,5691.0,4918.0,13950.0,3327.0,5387.0,12915.0,8187.0,297.0,25826.0,
2010-02-01,116438.0,1813.0,7657.0,16053.0,3046.0,3889.0,2839.0,6930.0,22467.0,5416.0,4671.0,13188.0,3172.0,5238.0,12324.0,7474.0,261.0,27326.0,
2010-03-01,112910.0,1658.0,7595.0,16002.0,3033.0,3457.0,2768.0,6482.0,21408.0,5274.0,4581.0,12906.0,2852.0,5330.0,12100.0,7231.0,233.0,26099.0,
2010-04-01,110409.0,1575.0,7814.0,16467.0,2949.0,3775.0,2662.0,6362.0,21386.0,5108.0,3938.0,12973.0,2731.0,3736.0,11897.0,6815.0,221.0,25910.0,
2010-05-01,110460.0,1957.0,7272.0,16303.0,3341.0,3824.0,2508.0,6401.0,22349.0,5105.0,3736.0,12621.0,2569.0,3492.0,12195.0,6570.0,217.0,27647.0,
2010-06-01,110020.0,1979.0,6910.0,16389.0,4320.0,2822.0,2987.0,6392.0,21969.0,5009.0,5039.0,12513.0,2568.0,3397.0,11253.0,6282.0,191.0,28268.0,
2010-07-01,106464.0,1941.0,6747.0,16325.0,4344.0,2859.0,2880.0,6128.0,21866.0,4741.0,3887.0,12222.0,2419.0,3293.0,10627.0,6005.0,180.0,28151.0,
2010-08-01,103981.0,2085.0,6131.0,16066.0,3741.0,2474.0,2741.0,6085.0,22326.0,4556.0,3858.0,11593.0,2394.0,3142.0,10664.0,5950.0,175.0,28152.0,
2010-09-01,100325.0,2169.0,5223.0,14743.0,3847.0,2150.0,2639.0,5994.0,23185.0,4413.0,3793.0,10851.0,1893.0,2988.0,9830.0,6435.0,172.0,29201.0,
2010-10-01,99033.0,2506.0,6051.0,15304.0,4127.0,1899.0,2461.0,5841.0,22701.0,4163.0,3667.0,10285.0,1722.0,2848.0,9512.0,5791.0,155.0,29334.0,
2010-11-01,94539.0,2842.0,4136.0,14505.0,4100.0,2359.0,2357.0,5680.0,22247.0,3988.0,3572.0,9824.0,1488.0,2724.0,8777.0,5754.0,186.0,29189.0,
2010-12-01,88706.0,2729.0,3458.0,13163.0,4265.0,1809.0,2205.0,5575.0,22418.0,3837.0,3428.0,9020.0,1311.0,2504.0,8042.0,4780.0,162.0,29412.0,
2011-01-01,84923.0,2269.0,3064.0,12380.0,4474.0,1259.0,2068.0,5472.0,22153.0,3720.0,3282.0,8750.0,1144.0,2378.0,7693.0,4586.0,231.0,28896.0,
2011-02-01,80588.0,2216.0,2824.0,11929.0,4173.0,964.0,1847.0,5567.0,21028.0,3544.0,3154.0,8477.0,1015.0,2106.0,7278.0,4257.0,209.0,27417.0,
2011-03-01,77572.0,2104.0,2734.0,11325.0,3823.0,805.0,1651.0,5469.0,21162.0,3376.0,3016.0,8082.0,925.0,2040.0,6974.0,3871.0,215.0,27089.0,
2011-04-01,72232.0,1855.0,2305.0,10561.0,3438.0,717.0,1530.0,5354.0,19715.0,3252.0,2915.0,7620.0,843.0,1885.0,6397.0,3668.0,177.0,25008.0,
2011-05-01,71360.0,1785.0,2671.0,9916.0,3945.0,721.0,1272.0,5419.0,21303.0,3363.0,1943.0,7459.0,750.0,1792.0,5984.0,2896.0,141.0,27033.0,
2011-06-01,72667.0,1825.0,2682.0,11577.0,3821.0,655.0,1629.0,5200.0,21579.0,3214.0,1835.0,7229.0,687.0,1655.0,5885.0,3048.0,146.0,27225.0,
2011-07-01,70087.0,1826.0,3158.0,10828.0,3749.0,682.0,1189.0,5014.0,20819.0,3114.0,1685.0,6903.0,639.0,1800.0,5655.0,2896.0,130.0,26394.0,
2011-08-01,68593.0,1767.0,3046.0,10152.0,3730.0,458.0,997.0,4942.0,22137.0,2922.0,1515.0,6546.0,541.0,1728.0,5093.0,2729.0,290.0,27634.0,
2011-09-01,68039.0,1776.0,2842.0,9861.0,3783.0,619.0,913.0,4713.0,21724.0,2690.0,1350.0,6379.0,478.0,2191.0,4723.0,3748.0,249.0,27283.0,
2011-10-01,66462.0,1821.0,3008.0,9295.0,3724.0,806.0,854.0,4501.0,21556.0,2460.0,1195.0,5903.0,428.0,1847.0,4434.0,4454.0,176.0,27101.0,
2011-11-01,67040.0,1801.0,2887.0,9384.0,3873.0,770.0,1482.0,3780.0,21595.0,2207.0,1100.0,7391.0,386.0,1728.0,4274.0,4235.0,147.0,27269.0,
2011-12-01,69807.0,1861.0,4193.0,8672.0,3642.0,784.0,1557.0,3510.0,22378.0,2244.0,1031.0,7471.0,355.0,1527.0,4110.0,6375.0,97.0,27881.0,
2012-01-01,67786.0,1890.0,3909.0,7477.0,3532.0,865.0,1400.0,3363.0,23539.0,2318.0,1077.0,7159.0,354.0,1436.0,3508.0,5888.0,71.0,28961.0,
2012-02-01,64850.0,1703.0,3970.0,6807.0,3694.0,818.0,1301.0,3507.0,22206.0,2642.0,995.0,6746.0,285.0,1376.0,3228.0,5488.0,84.0,27603.0,
2012-03-01,62949.0,1732.0,4191.0,6104.0,3802.0,1142.0,1227.0,3144.0,21427.0,2567.0,982.0,6502.0,259.0,1285.0,3010.0,5518.0,57.0,26961.0,
2012-04-01,61385.0,1691.0,4063.0,5895.0,3829.0,940.0,1192.0,2916.0,20595.0,3034.0,833.0,6180.0,247.0,1063.0,3562.0,5297.0,48.0,26115.0,
2012-05-01,62325.0,1703.0,4014.0,5721.0,4002.0,1104.0,1179.0,3549.0,20890.0,2809.0,833.0,6065.0,249.0,1719.0,3361.0,4817.0,310.0,26595.0,
2012-06-01,62288.0,1698.0,4448.0,5564.0,4058.0,1108.0,1228.0,3047.0,21173.0,3086.0,786.0,6156.0,239.0,1486.0,3258.0,4663.0,290.0,26929.0,
2012-07-01,67060.0,3146.0,5630.0,5289.0,4212.0,1313.0,1197.0,3291.0,22034.0,3244.0,700.0,6035.0,341.0,1766.0,3503.0,5025.0,284.0,29392.0,50.0
2012-08-01,69511.0,3847.0,5484.0,5202.0,4212.0,3051.0,1501.0,2975.0,21938.0,3184.0,631.0,5965.0,332.0,1875.0,3277.0,5730.0,265.0,29997.0,42.0
2012-09-01,71552.0,3754.0,5393.0,4993.0,4420.0,3017.0,1561.0,3018.0,21864.0,3616.0,653.0,6187.0,537.0,1548.0,2640.0,7348.0,982.0,30038.0,21.0
2012-10-01,72739.0,3700.0,5261.0,4678.0,4181.0,2792.0,1377.0,3071.0,24567.0,3769.0,628.0,4148.0,481.0,1850.0,3149.0,8243.0,841.0,32448.0,3.0
2012-11-01,76319.0,3594.0,5199.0,3707.0,4059.0,3608.0,1484.0,3474.0,26732.0,4367.0,703.0,3608.0,401.0,1740.0,2728.0,9941.0,974.0,34385.0,0.0
2012-12-01,74835.0,3481.0,5784.0,3288.0,4026.0,3348.0,1441.0,3659.0,25040.0,4421.0,585.0,2942.0,629.0,2478.0,3201.0,9558.0,954.0,32547.0,0.0
2013-01-01,75180.0,3415.0,6985.0,2898.0,4637.0,3369.0,1404.0,3245.0,25732.0,4159.0,504.0,2691.0,443.0,2348.0,3096.0,9203.0,1051.0,33784.0,0.0
2013-02-01,73386.0,3308.0,6568.0,2622.0,4478.0,3235.0,1300.0,3035.0,25888.0,4220.0,455.0,2563.0,868.0,2069.0,2647.0,8965.0,1063.0,33674.0,102.0
2013-03-01,70633.0,3168.0,6896.0,2347.0,5080.0,1612.0,1303.0,2792.0,24511.0,3846.0,902.0,2697.0,1041.0,1993.0,2375.0,8353.0,996.0,32759.0,721.0
2013-04-01,70201.0,3035.0,6131.0,2089.0,5068.0,1471.0,1399.0,2438.0,25164.0,4149.0,811.0,2555.0,1565.0,1946.0,2270.0,8703.0,983.0,33267.0,424.0
2013-05-01,66896.0,2908.0,5485.0,1939.0,4920.0,1350.0,1253.0,2210.0,24941.0,3751.0,763.0,2351.0,1873.0,1920.0,2071.0,7617.0,925.0,32769.0,619.0
2013-06-01,65072.0,2722.0,4956.0,1760.0,5223.0,1233.0,1187.0,1924.0,24556.0,3461.0,684.0,2961.0,1903.0,2271.0,2081.0,6992.0,744.0,32501.0,414.0
2013-07-01,67672.0,2581.0,4575.0,1649.0,5281.0,1116.0,1163.0,1830.0,27464.0,3582.0,914.0,2565.0,1982.0,2183.0,1963.0,7401.0,684.0,35326.0,739.0
2013-08-01,68119.0,3970.0,4848.0,1492.0,5130.0,1064.0,1066.0,1685.0,27803.0,3446.0,883.0,2321.0,1884.0,2087.0,1817.0,7829.0,614.0,36903.0,180.0
2013-09-01,66110.0,4331.0,4954.0,1602.0,4840.0,913.0,981.0,2816.0,25500.0,3572.0,797.0,2346.0,1694.0,2021.0,1917.0,7202.0,581.0,34671.0,43.0
2013-10-01,64433.0,3808.0,4385.0,1359.0,4335.0,817.0,876.0,2499.0,28399.0,3283.0,725.0,2007.0,1595.0,1829.0,1590.0,6396.0,516.0,36542.0,14.0
2013-11-01,63709.0,3568.0,5350.0,1196.0,4222.0,377.0,989.0,2895.0,26413.0,3156.0,685.0,3265.0,1511.0,2065.0,1542.0,5840.0,477.0,34203.0,158.0
