,전국[호],서울[호],부산[호],대구[호],인천[호],광주[호],대전[호],울산[호],경기[호],강원[호],충북[호],충남[호],전북[호],전남[호],경북[호],경남[호],제주[호],수도권[호],세종[호]
2013-12-01,61091.0,3157.0,4259.0,1234.0,5275.0,323.0,1146.0,3310.0,24760.0,3055.0,599.0,3566.0,1470.0,1981.0,1405.0,4909.0,588.0,33192.0,54.0
2014-01-01,58576.0,2905.0,4131.0,955.0,7267.0,340.0,867.0,2943.0,22525.0,2936.0,670.0,3204.0,1383.0,1921.0,1167.0,4801.0,557.0,32697.0,4.0
2014-02-01,52391.0,2734.0,3433.0,615.0,6891.0,206.0,740.0,2559.0,19653.0,3049.0,633.0,2741.0,1319.0,1851.0,1043.0,4380.0,540.0,29278.0,4.0
2014-03-01,48167.0,2259.0,3985.0,523.0,6314.0,483.0,669.0,2081.0,17509.0,2899.0,618.0,2260.0,1254.0,1742.0,1122.0,3934.0,511.0,26082.0,4.0
2014-04-01,45573.0,2185.0,3490.0,296.0,5933.0,129.0,608.0,1709.0,16174.0,2840.0,1442.0,1878.0,1420.0,1927.0,1060.0,3768.0,503.0,24292.0,211.0
2014-05-01,49026.0,2241.0,2962.0,562.0,7443.0,127.0,573.0,1467.0,19362.0,2413.0,1520.0,1587.0,1253.0,1879.0,911.0,3840.0,408.0,29046.0,478.0
2014-06-01,50257.0,2601.0,2640.0,367.0,6979.0,117.0,531.0,1115.0,20632.0,2275.0,1486.0,1353.0,1401.0,3338.0,720.0,4040.0,360.0,30212.0,302.0
2014-07-01,51287.0,2492.0,2822.0,1754.0,6418.0,657.0,590.0,806.0,17887.0,2169.0,1851.0,1816.0,1502.0,3244.0,1138.0,4474.0,323.0,26797.0,1344.0
2014-08-01,44784.0,2362.0,2227.0,1097.0,5512.0,410.0,827.0,555.0,15340.0,1739.0,1553.0,2095.0,1420.0,3139.0,1578.0,3769.0,264.0,23214.0,897.0
2014-09-01,39168.0,1797.0,2671.0,773.0,4640.0,268.0,650.0,409.0,13505.0,1630.0,1326.0,1525.0,1350.0,3031.0,1338.0,3319.0,239.0,19942.0,697.0
2014-10-01,40092.0,1724.0,2199.0,788.0,3996.0,186.0,562.0,342.0,13999.0,3357.0,1144.0,2676.0,1299.0,2678.0,1762.0,2907.0,160.0,19719.0,313.0
2014-11-01,39703.0,1522.0,2375.0,554.0,3713.0,172.0,669.0,307.0,14539.0,3086.0,1032.0,2338.0,1255.0,2641.0,2516.0,2776.0,147.0,19774.0,61.0
2014-12-01,40379.0,1356.0,2060.0,1013.0,3735.0,247.0,444.0,258.0,14723.0,3054.0,931.0,2838.0,1197.0,2981.0,2023.0,2962.0,124.0,19814.0,433.0
2015-01-01,36985.0,1497.0,1710.0,857.0,3257.0,252.0,456.0,329.0,14201.0,2930.0,842.0,2199.0,824.0,2006.0,2024.0,3138.0,168.0,18955.0,295.0
2015-02-01,33813.0,1238.0,1515.0,669.0,2991.0,141.0,424.0,309.0,12695.0,2850.0,1090.0,2318.0,883.0,1888.0,1844.0,2766.0,108.0,16924.0,84.0
2015-03-01,28897.0,1064.0,1258.0,483.0,2846.0,109.0,478.0,250.0,10285.0,2703.0,940.0,2031.0,828.0,1716.0,1625.0,2175.0,106.0,14195.0,0.0
2015-04-01,28093.0,987.0,935.0,203.0,2547.0,91.0,457.0,118.0,10976.0,2577.0,838.0,2535.0,829.0,1620.0,1380.0,1838.0,162.0,14510.0,0.0
2015-05-01,28142.0,976.0,835.0,49.0,2998.0,120.0,432.0,98.0,10458.0,2946.0,748.0,2966.0,1102.0,1480.0,986.0,1881.0,67.0,14432.0,0.0
2015-06-01,34068.0,638.0,987.0,27.0,2529.0,189.0,780.0,96.0,12927.0,3373.0,1315.0,3475.0,1588.0,1463.0,2014.0,2450.0,217.0,16094.0,0.0
2015-07-01,33177.0,482.0,1371.0,11.0,2440.0,183.0,1322.0,125.0,13014.0,2089.0,1376.0,3345.0,1227.0,1286.0,1476.0,3351.0,79.0,15936.0,0.0
2015-08-01,31698.0,317.0,1044.0,11.0,3144.0,190.0,909.0,105.0,12428.0,1766.0,1242.0,3636.0,1131.0,1246.0,1891.0,2606.0,32.0,15889.0,0.0
2015-09-01,32524.0,251.0,1252.0,108.0,2764.0,260.0,809.0,94.0,11534.0,1761.0,1265.0,5537.0,1140.0,1208.0,1709.0,2800.0,32.0,14549.0,0.0
2015-10-01,32221.0,264.0,1191.0,121.0,2802.0,269.0,552.0,89.0,12510.0,1641.0,1215.0,5110.0,1059.0,1095.0,1837.0,2440.0,26.0,15576.0,0.0
2015-11-01,49724.0,241.0,1074.0,114.0,4528.0,298.0,1067.0,365.0,21809.0,1937.0,4114.0,6618.0,1336.0,1562.0,1654.0,2947.0,44.0,26578.0,16.0
2015-12-01,61512.0,494.0,1290.0,2396.0,4206.0,735.0,1243.0,437.0,25937.0,1876.0,3655.0,9065.0,1227.0,1608.0,3802.0,3411.0,114.0,30637.0,16.0
2016-01-01,60606.0,737.0,1308.0,1806.0,4036.0,672.0,1038.0,857.0,24276.0,2264.0,5007.0,8530.0,1311.0,1563.0,3725.0,3353.0,119.0,29049.0,4.0
2016-02-01,55103.0,884.0,1217.0,1666.0,3596.0,711.0,866.0,668.0,20491.0,2271.0,4341.0,8249.0,1440.0,1478.0,3490.0,3676.0,55.0,24971.0,4.0
2016-03-01,53845.0,788.0,1251.0,1769.0,3465.0,764.0,759.0,627.0,19047.0,1863.0,4096.0,7823.0,1470.0,1380.0,3994.0,4683.0,62.0,23300.0,4.0
2016-04-01,53816.0,651.0,1315.0,1638.0,3329.0,812.0,684.0,593.0,18365.0,2097.0,4596.0,7452.0,1945.0,2017.0,3940.0,4221.0,158.0,22345.0,3.0
2016-05-01,55456.0,507.0,1253.0,1462.0,3108.0,1049.0,812.0,1609.0,17272.0,1943.0,4171.0,7869.0,2374.0,1844.0,4658.0,5403.0,122.0,20887.0,0.0
2016-06-01,59999.0,409.0,1568.0,1230.0,3179.0,1095.0,767.0,1037.0,19737.0,2127.0,4907.0,8017.0,2745.0,1758.0,5621.0,5553.0,249.0,23325.0,0.0
2016-07-01,63127.0,426.0,1429.0,1225.0,3724.0,931.0,740.0,907.0,17243.0,3061.0,4428.0,8644.0,2518.0,1661.0,6198.0,9737.0,255.0,21393.0,0.0
2016-08-01,62562.0,372.0,1364.0,1631.0,3124.0,906.0,859.0,701.0,17860.0,2678.0,4081.0,9232.0,2619.0,1508.0,5908.0,9369.0,350.0,21356.0,0.0
2016-09-01,60700.0,327.0,1306.0,1404.0,2398.0,1090.0,693.0,605.0,16296.0,2874.0,4164.0,9585.0,2736.0,1420.0,6716.0,8801.0,285.0,19021.0,0.0
2016-10-01,57709.0,283.0,1168.0,1135.0,2830.0,877.0,730.0,526.0,14594.0,2479.0,4089.0,9167.0,2737.0,1364.0,7556.0,7868.0,306.0,17707.0,0.0
2016-11-01,57582.0,268.0,1110.0,978.0,3571.0,691.0,606.0,509.0,14396.0,3605.0,3920.0,9073.0,2533.0,1344.0,7266.0,7414.0,298.0,18235.0,0.0
2016-12-01,56413.0,274.0,1171.0,915.0,3053.0,554.0,644.0,481.0,13362.0,3314.0,3989.0,9323.0,2382.0,1245.0,7421.0,8014.0,271.0,16689.0,0.0
2017-01-01,59313.0,205.0,1102.0,828.0,3641.0,818.0,551.0,682.0,15092.0,3466.0,4043.0,9094.0,2468.0,1153.0,8032.0,7785.0,353.0,18938.0,0.0
2017-02-01,61063.0,187.0,1041.0,703.0,3335.0,764.0,726.0,811.0,14492.0,3281.0,3982.0,8970.0,2278.0,1145.0,7785.0,11117.0,446.0,18014.0,0.0
2017-03-01,61679.0,200.0,959.0,627.0,4501.0,696.0,998.0,789.0,14465.0,3064.0,4415.0,8785.0,2087.0,1108.0,7538.0,10712.0,735.0,19166.0,0.0
2017-04-01,60313.0,157.0,905.0,529.0,3703.0,1392.0,935.0,736.0,13309.0,3297.0,5755.0,8715.0,2130.0,1023.0,7472.0,9341.0,914.0,17169.0,0.0
2017-05-01,56859.0,119.0,836.0,383.0,3158.0,1326.0,888.0,713.0,11958.0,3013.0,5433.0,8312.0,1956.0,979.0,7774.0,9040.0,971.0,15235.0,0.0
2017-06-01,57108.0,64.0,734.0,299.0,3057.0,804.0,1073.0,873.0,11229.0,3019.0,7108.0,8020.0,2242.0,935.0,7514.0,9166.0,971.0,14350.0,0.0
2017-07-01,54282.0,41.0,752.0,237.0,2516.0,797.0,1083.0,869.0,9560.0,2655.0,6853.0,7645.0,2082.0,756.0,7826.0,9707.0,903.0,12117.0,0.0
2017-08-01,53130.0,39.0,738.0,139.0,2081.0,766.0,1093.0,898.0,7596.0,2316.0,5435.0,9765.0,2037.0,690.0,8269.0,10354.0,914.0,9716.0,0.0
2017-09-01,54420.0,75.0,720.0,133.0,2291.0,769.0,945.0,872.0,7945.0,3094.0,4927.0,9470.0,2154.0,780.0,8077.0,11147.0,1021.0,10311.0,0.0
2017-10-01,55707.0,56.0,1473.0,125.0,1908.0,781.0,854.0,866.0,7912.0,2701.0,4652.0,11309.0,1964.0,728.0,8065.0,11257.0,1056.0,9876.0,0.0
2017-11-01,56647.0,68.0,1593.0,125.0,1751.0,796.0,1062.0,849.0,8375.0,2474.0,5285.0,10624.0,1895.0,651.0,7794.0,12122.0,1183.0,10194.0,0.0
2017-12-01,57330.0,45.0,1920.0,126.0,1549.0,707.0,759.0,855.0,8793.0,2816.0,4980.0,11283.0,1881.0,627.0,7630.0,12088.0,1271.0,10387.0,0.0
2018-01-01,59104.0,45.0,2291.0,143.0,1192.0,562.0,1084.0,1089.0,8611.0,2693.0,4634.0,11352.0,1846.0,1249.0,7806.0,13227.0,1280.0,9848.0,0.0
2018-02-01,60903.0,48.0,2937.0,135.0,1246.0,431.0,1210.0,837.0,8676.0,4636.0,4526.0,11002.0,1667.0,1211.0,8237.0,12914.0,1190.0,9970.0,0.0
2018-03-01,58004.0,48.0,2703.0,153.0,1237.0,383.0,740.0,830.0,7422.0,5215.0,4167.0,9738.0,1651.0,1409.0,7820.0,13149.0,1339.0,8707.0,0.0
2018-04-01,59583.0,47.0,2427.0,230.0,1311.0,366.0,843.0,1008.0,9003.0,5038.0,4398.0,9435.0,1519.0,1325.0,7649.0,13724.0,1260.0,10361.0,0.0
2018-05-01,59836.0,47.0,2238.0,194.0,1186.0,338.0,888.0,1004.0,8600.0,4883.0,4537.0,9111.0,1891.0,1241.0,7455.0,14955.0,1268.0,9833.0,0.0
2018-06-01,62050.0,47.0,2169.0,506.0,1327.0,317.0,1035.0,1004.0,8134.0,4729.0,5288.0,9494.0,2174.0,1212.0,8419.0,14896.0,1299.0,9508.0,1299.0
2018-07-01,63132.0,42.0,3266.0,1345.0,1260.0,266.0,973.0,1006.0,7530.0,4906.0,4870.0,9963.0,2034.0,1103.0,8198.0,15095.0,1275.0,8832.0,1275.0
2018-08-01,62370.0,39.0,3129.0,945.0,1208.0,240.0,978.0,1005.0,7287.0,5240.0,4880.0,9953.0,1810.0,1494.0,8033.0,14912.0,1217.0,8534.0,0.0
2018-09-01,60596.0,29.0,3111.0,745.0,1135.0,194.0,948.0,1007.0,6487.0,5112.0,4426.0,9489.0,1681.0,1350.0,8760.0,14847.0,1275.0,7651.0,0.0
2018-10-01,60502.0,28.0,3205.0,575.0,1122.0,191.0,990.0,1010.0,5529.0,5350.0,4944.0,9141.0,1834.0,1742.0,8942.0,14673.0,1226.0,6679.0,0.0
2018-11-01,60122.0,28.0,3920.0,429.0,1394.0,75.0,1426.0,1009.0,5078.0,5300.0,4707.0,8476.0,1692.0,1689.0,9421.0,14213.0,1265.0,6500.0,0.0
2018-12-01,58838.0,27.0,4153.0,362.0,1324.0,58.0,1183.0,997.0,4968.0,5736.0,4560.0,7763.0,1607.0,1663.0,8995.0,14147.0,1295.0,6319.0,0.0
2019-01-01,59162.0,27.0,5224.0,291.0,1357.0,52.0,1407.0,1006.0,6769.0,5589.0,3525.0,7149.0,1567.0,1421.0,8531.0,14060.0,1187.0,8153.0,0.0
2019-02-01,59614.0,50.0,5228.0,738.0,1799.0,49.0,1475.0,1009.0,5878.0,5802.0,3375.0,6970.0,1415.0,1389.0,8385.0,14781.0,1271.0,7727.0,0.0
2019-03-01,62147.0,770.0,5296.0,706.0,2454.0,45.0,1475.0,1008.0,7311.0,5748.0,3536.0,6743.0,1374.0,1374.0,8262.0,14824.0,1227.0,10529.0,0.0
2019-04-01,62041.0,292.0,5401.0,1585.0,2105.0,40.0,1225.0,1076.0,7048.0,7882.0,3514.0,6413.0,1205.0,1474.0,8060.0,13476.0,1245.0,9445.0,0.0
2019-05-01,62741.0,178.0,5220.0,1814.0,3478.0,40.0,1137.0,1085.0,6562.0,7776.0,3412.0,6355.0,1513.0,1379.0,7866.0,13800.0,1126.0,10218.0,0.0
2019-06-01,63705.0,123.0,4982.0,1739.0,3632.0,39.0,1158.0,1201.0,7853.0,7712.0,3095.0,6038.0,1386.0,1349.0,7778.0,14402.0,1218.0,11608.0,0.0
2019-07-01,62529.0,190.0,4855.0,1818.0,2778.0,39.0,1048.0,1359.0,7821.0,7474.0,3236.0,6201.0,1451.0,1331.0,7517.0,14250.0,1161.0,10789.0,0.0
2019-08-01,62385.0,205.0,4644.0,1736.0,1557.0,181.0,1018.0,1339.0,8569.0,8097.0,2895.0,6847.0,1318.0,1476.0,7202.0,14078.0,1223.0,10331.0,0.0
2019-09-01,60062.0,207.0,4562.0,1550.0,1046.0,139.0,964.0,1345.0,8413.0,7797.0,2554.0,6429.0,1198.0,1875.0,6919.0,13903.0,1161.0,9666.0,0.0
2019-10-01,56098.0,191.0,4380.0,1362.0,836.0,95.0,935.0,1012.0,6976.0,7382.0,2576.0,5906.0,1077.0,2081.0,6684.0,13489.0,1116.0,8003.0,0.0
2019-11-01,53561.0,176.0,2884.0,1236.0,839.0,180.0,879.0,1365.0,7300.0,7120.0,2216.0,5895.0,987.0,1930.0,6406.0,13060.0,1088.0,8315.0,0.0
2019-12-01,47797.0,151.0,2115.0,1790.0,966.0,148.0,724.0,1269.0,5085.0,5945.0,1672.0,5569.0,1043.0,1857.0,6122.0,12269.0,1072.0,6202.0,0.0
2020-01-01,43268.0,131.0,2266.0,1414.0,1035.0,59.0,941.0,1142.0,3735.0,4964.0,1166.0,5470.0,1009.0,1654.0,5639.0,11586.0,1057.0,4901.0,0.0
2020-02-01,39456.0,112.0,2061.0,1072.0,487.0,36.0,1012.0,659.0,3634.0,4168.0,1202.0,5085.0,924.0,1455.0,5436.0,11099.0,1014.0,4233.0,0.0
2020-03-01,38304.0,91.0,1979.0,1031.0,449.0,32.0,968.0,695.0,3662.0,3902.0,1109.0,4843.0,849.0,1387.0,5296.0,10827.0,1184.0,4202.0,0.0
2020-04-01,36629.0,78.0,1993.0,1068.0,481.0,31.0,917.0,699.0,3224.0,3742.0,919.0,4334.0,822.0,1373.0,5077.0,10590.0,1281.0,3783.0,0.0
2020-05-01,33894.0,70.0,2149.0,1159.0,342.0,31.0,871.0,614.0,2604.0,3470.0,365.0,4695.0,661.0,1249.0,4306.0,9971.0,1337.0,3016.0,0.0
2020-06-01,29262.0,61.0,1666.0,940.0,266.0,31.0,875.0,555.0,2445.0,3202.0,355.0,3683.0,631.0,1244.0,3487.0,8542.0,1279.0,2772.0,0.0
2020-07-01,28883.0,58.0,1544.0,957.0,294.0,31.0,849.0,548.0,2793.0,3015.0,352.0,3266.0,534.0,1244.0,3276.0,8840.0,1282.0,3145.0,0.0
2020-08-01,28831.0,56.0,1454.0,1624.0,525.0,31.0,783.0,502.0,2585.0,2816.0,337.0,3233.0,511.0,860.0,3423.0,8841.0,1250.0,3166.0,0.0
2020-09-01,28309.0,54.0,1397.0,1216.0,414.0,259.0,773.0,494.0,3338.0,3060.0,319.0,3030.0,488.0,758.0,3325.0,8163.0,1221.0,3806.0,0.0
2020-10-01,26703.0,52.0,1262.0,1143.0,822.0,245.0,832.0,474.0,2733.0,2884.0,307.0,3235.0,444.0,1073.0,2922.0,7042.0,1233.0,3607.0,0.0
2020-11-01,23620.0,52.0,1084.0,667.0,691.0,88.0,831.0,473.0,2440.0,2648.0,275.0,3582.0,400.0,1059.0,2541.0,5581.0,1208.0,3183.0,0.0
2020-12-01,19005.0,49.0,973.0,280.0,466.0,31.0,638.0,468.0,1616.0,3115.0,273.0,2510.0,661.0,1059.0,2154.0,3617.0,1095.0,2131.0,0.0
2021-01-01,17130.0,49.0,944.0,419.0,245.0,307.0,635.0,438.0,1567.0,2671.0,234.0,2061.0,251.0,1046.0,2049.0,2964.0,1250.0,1861.0,0.0
2021-02-01,15786.0,88.0,966.0,195.0,142.0,44.0,599.0,436.0,1367.0,2340.0,211.0,1913.0,227.0,964.0,2493.0,2580.0,1221.0,1597.0,0.0
