,총지수[2019.01=100],단독주택[2019.01=100],연립주택[2019.01=100],아파트[2019.01=100],아파트(서울)[2019.01=100],총지수(서울)[2019.01=100]
1986-01-01,17.601,35.506,18.059,10.793,9.782,16.755
1986-02-01,17.853,35.731,18.155,11.104,10.195,17.066
1986-03-01,18.273,36.553,18.823,11.446,10.55,17.573
1986-04-01,18.651,37.151,19.158,11.695,10.787,18.002
1986-05-01,18.693,37.151,19.301,11.726,10.875,18.04
1986-06-01,18.651,37.151,19.301,11.664,10.787,17.963
1986-07-01,18.609,37.076,19.253,11.633,10.787,17.924
1986-08-01,18.651,37.151,19.253,11.726,10.875,17.963
1986-09-01,18.945,37.599,19.54,12.037,11.318,18.352
1986-10-01,19.071,37.898,19.54,12.131,11.348,18.43
1986-11-01,18.777,37.375,19.158,11.851,10.875,17.846
1986-12-01,18.609,37.151,18.919,11.602,10.521,17.495
1987-01-01,18.525,37.076,18.823,11.633,10.698,17.534
1987-02-01,18.819,37.375,19.015,11.944,11.082,17.885
1987-03-01,19.365,38.347,19.827,12.348,11.496,18.508
1987-04-01,19.911,39.468,20.448,12.722,11.85,18.976
1987-05-01,20.037,39.618,20.591,12.846,11.909,19.093
1987-06-01,20.205,39.917,20.687,12.908,11.998,19.17
1987-07-01,20.247,39.917,20.734,12.971,11.998,19.131
1987-08-01,20.331,40.141,20.782,13.064,12.087,19.209
1987-09-01,21.34,42.084,21.738,13.779,12.678,19.989
1987-10-01,21.76,42.981,22.216,13.966,12.796,20.339
1987-11-01,22.18,43.729,22.407,14.277,13.062,20.573
1987-12-01,22.222,44.028,22.359,14.277,13.062,20.69
1988-01-01,22.474,44.476,22.454,14.495,13.298,20.846
1988-02-01,23.188,45.672,23.458,15.023,13.86,21.742
1988-03-01,24.28,47.915,24.652,15.645,14.481,22.95
1988-04-01,25.078,49.634,25.082,16.081,14.806,23.573
1988-05-01,25.246,49.933,25.225,16.33,14.865,23.573
1988-06-01,25.414,50.382,25.225,16.361,14.687,23.379
1988-07-01,25.456,50.531,25.273,16.392,14.717,23.379
1988-08-01,25.918,51.279,25.655,16.734,14.953,23.651
1988-09-01,26.002,51.503,25.608,16.734,14.924,23.651
1988-10-01,25.834,51.279,25.655,16.641,14.746,23.379
1988-11-01,25.456,50.531,25.178,16.299,14.215,22.677
1988-12-01,25.162,49.933,24.986,16.174,13.978,22.21
1989-01-01,25.414,50.232,25.321,16.392,14.333,22.521
1989-02-01,26.212,51.279,26.563,17.17,15.219,23.534
1989-03-01,27.137,52.998,27.614,17.854,16.017,24.859
1989-04-01,28.271,55.016,28.952,18.725,16.904,26.184
1989-05-01,28.523,55.465,29.095,18.849,16.756,26.223
1989-06-01,28.397,55.39,29.143,18.694,16.431,25.95
1989-07-01,28.313,55.39,29.191,18.445,16.165,25.833
1989-08-01,28.397,55.39,29.191,18.663,16.608,26.067
1989-09-01,29.069,56.287,29.955,19.378,17.761,27.275
1989-10-01,29.573,57.035,30.433,19.969,18.381,27.782
1989-11-01,29.615,57.259,30.433,19.907,18.352,27.665
1989-12-01,29.573,57.259,30.433,19.782,18.115,27.47
1990-01-01,30.329,58.38,31.006,20.529,19.238,28.6
1990-02-01,33.942,65.407,35.354,22.8,21.809,32.73
1990-03-01,34.74,66.827,36.5,23.39,22.371,33.47
1990-04-01,35.538,68.098,37.742,24.013,22.844,34.133
1990-05-01,35.202,67.5,37.313,23.795,22.253,33.198
1990-06-01,34.782,66.603,37.074,23.484,21.78,32.457
1990-07-01,34.572,66.154,37.121,23.359,22.637,32.185
1990-08-01,34.74,66.079,37.121,23.67,22.075,32.34
1990-09-01,35.16,66.752,37.647,24.168,22.726,32.886
1990-10-01,35.328,66.976,37.981,24.324,22.844,33.003
1990-11-01,35.328,66.528,37.79,24.635,23.464,33.081
1990-12-01,34.53,65.108,37.313,23.919,22.4,31.912
1991-01-01,34.53,64.734,37.121,24.137,22.962,32.223
1991-02-01,35.202,65.257,38.125,24.977,24.144,33.237
1991-03-01,36.168,66.976,39.319,25.692,25.149,34.717
1991-04-01,37.008,68.471,40.37,26.252,25.444,35.496
1991-05-01,36.672,68.172,40.036,25.879,24.676,34.678
1991-06-01,36.084,67.35,39.176,25.381,23.76,33.782
1991-07-01,35.748,66.752,38.841,25.163,23.73,33.587
1991-08-01,35.622,66.453,38.794,25.039,23.671,33.47
1991-09-01,35.874,66.453,39.319,25.412,24.499,34.133
1991-10-01,36.084,66.752,39.654,25.568,24.794,34.328
1991-11-01,35.706,66.378,39.319,25.163,24.144,33.743
1991-12-01,35.202,65.481,38.889,24.728,23.464,33.159
1992-01-01,35.244,65.257,38.985,24.915,24.026,33.392
1992-02-01,35.622,65.556,39.558,25.412,24.765,33.938
1992-03-01,36.882,67.35,41.565,26.439,25.976,35.341
1992-04-01,37.554,68.471,42.377,26.967,26.272,35.886
1992-05-01,37.848,69.294,42.568,27.03,26.154,35.925
1992-06-01,37.638,69.219,42.233,26.812,25.71,35.574
1992-07-01,37.512,68.92,42.042,26.719,25.651,35.341
1992-08-01,37.806,69.219,42.424,27.03,26.36,35.886
1992-09-01,38.352,70.041,43.428,27.496,26.745,36.587
1992-10-01,38.436,70.34,43.523,27.434,26.597,36.432
1992-11-01,38.226,70.191,43.189,27.154,26.242,36.198
1992-12-01,37.848,69.742,42.616,26.812,25.858,35.73
1993-01-01,37.848,69.518,42.568,26.905,26.094,35.847
1993-02-01,38.394,70.265,43.428,27.434,26.686,36.393
1993-03-01,39.025,71.237,44.24,27.994,27.188,37.055
1993-04-01,39.151,71.461,44.24,28.118,27.129,36.938
1993-05-01,38.983,71.387,43.953,27.838,26.745,36.587
1993-06-01,38.689,70.938,43.571,27.652,26.42,36.12
1993-07-01,38.562,70.639,43.284,27.527,26.36,36.003
1993-08-01,38.562,70.564,43.284,27.59,26.449,36.042
1993-09-01,38.689,70.789,43.428,27.745,26.508,36.042
1993-10-01,38.857,70.938,43.523,27.932,26.597,36.081
1993-11-01,38.815,70.938,43.476,27.932,26.508,36.003
1993-12-01,38.773,70.863,43.38,27.838,26.39,35.886
1994-01-01,38.815,70.789,43.428,27.932,26.479,35.886
1994-02-01,39.025,70.938,43.762,28.243,26.892,36.198
1994-03-01,39.445,71.461,44.335,28.647,27.365,36.587
1994-04-01,39.613,71.536,44.527,28.865,27.69,36.821
1994-05-01,39.697,71.611,44.622,28.958,27.749,36.821
1994-06-01,39.781,71.76,44.622,29.02,27.868,36.938
1994-07-01,39.781,71.76,44.67,29.02,27.809,36.899
1994-08-01,39.949,71.985,44.957,29.207,28.074,37.094
1994-09-01,40.369,72.508,45.482,29.611,28.547,37.64
1994-10-01,40.537,72.732,45.673,29.736,28.636,37.756
1994-11-01,40.537,72.882,45.769,29.767,28.636,37.717
1994-12-01,40.537,72.807,45.769,29.705,28.577,37.678
1995-01-01,40.579,72.882,45.817,29.798,28.666,37.756
1995-02-01,40.957,73.255,46.246,30.14,29.05,38.185
1995-03-01,41.503,74.003,47.011,30.638,29.523,38.769
1995-04-01,41.755,74.451,47.441,30.887,29.7,38.964
1995-05-01,41.713,74.451,47.441,30.856,29.582,38.886
1995-06-01,41.713,74.451,47.393,30.824,29.523,38.847
1995-07-01,41.671,74.377,47.298,30.762,29.493,38.769
1995-08-01,41.713,74.302,47.345,30.856,29.611,38.886
1995-09-01,41.965,74.676,47.68,31.104,29.788,39.081
1995-10-01,42.091,74.9,47.919,31.229,29.788,39.159
1995-11-01,42.091,74.9,47.871,31.167,29.7,39.042
1995-12-01,42.007,74.75,47.775,31.104,29.552,38.964
1996-01-01,42.175,74.9,47.919,31.353,29.788,39.159
1996-02-01,42.679,75.498,48.301,31.851,30.202,39.588
1996-03-01,43.351,76.171,49.065,32.535,30.557,39.977
1996-04-01,43.603,76.47,49.304,32.815,30.764,40.133
1996-05-01,43.645,76.395,49.304,32.877,30.793,40.172
1996-06-01,43.645,76.245,49.4,32.94,30.882,40.211
1996-07-01,43.645,76.245,49.4,32.94,31.0,40.289
1996-08-01,43.981,76.395,49.877,33.375,31.591,40.796
1996-09-01,44.654,76.993,50.403,34.153,32.448,41.575
1996-10-01,44.864,77.292,50.642,34.37,32.419,41.614
1996-11-01,44.864,77.367,50.498,34.308,32.212,41.458
1996-12-01,44.738,77.142,50.355,34.277,32.419,41.536
1997-01-01,45.032,77.217,50.498,34.65,32.98,41.926
1997-02-01,45.494,77.516,50.976,35.272,33.482,42.354
1997-03-01,45.872,77.89,51.406,35.583,33.482,42.471
1997-04-01,45.914,77.965,51.454,35.615,33.453,42.471
1997-05-01,45.788,77.89,51.311,35.521,33.217,42.276
1997-06-01,45.662,77.74,51.311,35.397,32.832,42.042
1997-07-01,45.62,77.516,51.263,35.335,32.744,41.926
1997-08-01,45.62,77.516,51.215,35.397,32.803,41.926
1997-09-01,45.788,77.591,51.358,35.646,33.246,42.198
1997-10-01,45.746,77.591,51.358,35.521,33.01,42.042
1997-11-01,45.494,77.367,51.12,35.272,32.537,41.653
1997-12-01,45.116,77.068,50.69,34.837,31.916,41.068
1998-01-01,44.654,76.544,50.164,34.339,31.384,40.406
1998-02-01,43.561,75.348,49.209,33.251,30.202,39.354
1998-03-01,41.797,72.956,47.059,31.602,27.927,36.899
1998-04-01,39.487,69.593,44.335,29.642,25.001,33.314
1998-05-01,37.932,67.5,42.759,28.181,23.317,31.756
1998-06-01,37.092,66.005,42.042,27.496,22.666,30.977
1998-07-01,36.84,65.407,41.756,27.341,23.11,31.21
1998-08-01,37.134,65.407,42.233,27.807,24.262,32.029
1998-09-01,37.218,65.257,42.186,28.025,24.942,32.379
1998-10-01,36.882,64.734,41.66,27.745,24.44,31.834
1998-11-01,36.672,64.36,41.421,27.59,24.144,31.483
1998-12-01,36.798,64.285,41.421,27.807,24.765,31.756
1999-01-01,37.554,64.136,41.851,28.927,26.006,32.535
1999-02-01,38.604,64.136,42.95,30.296,27.661,33.704
1999-03-01,39.361,64.734,43.093,31.229,28.577,34.328
1999-04-01,39.907,65.033,43.714,31.82,29.168,34.873
1999-05-01,40.327,65.332,44.144,32.317,29.7,35.419
1999-06-01,40.579,65.033,44.431,32.753,30.114,35.808
1999-07-01,40.915,65.332,44.909,33.064,30.675,36.315
1999-08-01,41.587,65.78,45.864,33.779,31.768,37.367
1999-09-01,42.595,66.304,47.202,34.837,33.069,38.536
1999-10-01,43.015,66.603,47.68,35.303,33.246,38.925
1999-11-01,43.015,66.677,47.871,35.241,33.01,38.925
1999-12-01,42.973,66.528,47.775,35.241,32.803,38.808
2000-01-01,43.519,66.976,48.492,35.801,33.305,39.393
2000-02-01,44.78,67.873,50.069,37.108,34.753,40.874
2000-03-01,45.788,69.069,51.597,37.916,35.669,42.042
2000-04-01,46.376,69.742,52.457,38.476,36.172,42.744
2000-05-01,46.418,69.742,52.457,38.507,36.29,42.822
2000-06-01,46.334,69.667,52.41,38.414,36.201,42.783
2000-07-01,46.418,69.742,52.314,38.569,36.408,43.017
2000-08-01,47.09,70.564,53.365,39.098,37.029,43.913
2000-09-01,47.972,71.611,54.368,39.907,37.915,44.848
2000-10-01,48.476,72.284,54.894,40.373,38.329,45.393
2000-11-01,48.308,72.209,54.894,40.125,37.679,44.965
2000-12-01,47.762,71.985,54.177,39.534,36.763,44.147
2001-01-01,47.804,71.686,54.034,39.689,37.088,44.341
2001-02-01,48.938,72.882,55.563,40.747,38.299,45.861
2001-03-01,50.114,74.377,57.044,41.773,39.245,47.069
2001-04-01,50.745,74.975,57.617,42.426,40.132,47.77
2001-05-01,51.249,75.498,58.334,42.893,40.811,48.355
2001-06-01,51.711,76.171,58.668,43.328,41.284,48.9
2001-07-01,52.509,76.843,59.385,44.199,42.319,49.718
2001-08-01,53.811,78.264,60.818,45.412,43.826,51.121
2001-09-01,55.029,79.46,62.06,46.657,45.303,52.485
2001-10-01,55.449,79.609,62.49,47.185,45.481,52.641
2001-11-01,55.449,79.684,62.395,47.185,45.333,52.446
2001-12-01,55.617,79.833,62.156,47.434,45.362,52.407
2002-01-01,56.794,80.656,62.825,48.834,46.84,53.498
2002-02-01,58.39,82.001,64.353,50.545,48.79,55.368
2002-03-01,59.692,83.347,65.5,51.851,50.445,57.005
2002-04-01,60.448,84.617,66.073,52.535,51.391,58.057
2002-05-01,60.658,85.215,66.408,52.566,51.362,58.446
2002-06-01,60.658,85.44,66.36,52.535,51.332,58.524
2002-07-01,60.868,85.29,66.503,52.846,51.923,59.031
2002-08-01,61.498,85.739,67.507,53.5,52.928,59.966
2002-09-01,62.254,87.009,68.175,54.122,53.341,60.551
2002-10-01,62.17,87.159,67.841,54.028,52.573,59.966
2002-11-01,61.582,86.561,67.268,53.375,51.184,58.719
2002-12-01,61.246,86.187,66.312,53.22,50.534,58.057
2003-01-01,61.204,85.739,65.691,53.406,50.357,57.706
2003-02-01,61.666,86.112,66.312,53.904,50.77,58.096
2003-03-01,62.128,86.561,66.79,54.308,51.214,58.524
2003-04-01,62.17,86.636,67.077,54.308,51.125,58.446
2003-05-01,62.044,86.636,66.933,54.153,50.711,58.252
2003-06-01,61.666,86.262,67.172,53.624,49.973,57.862
2003-07-01,61.336,85.759,66.82,53.356,49.507,57.386
2003-08-01,61.258,85.555,66.805,53.319,49.427,57.155
2003-09-01,61.468,85.633,66.918,53.628,49.712,57.362
2003-10-01,61.508,85.425,66.76,53.776,49.764,57.192
2003-11-01,61.09,84.751,65.927,53.515,49.379,56.635
2003-12-01,60.37,83.521,64.773,53.026,48.912,55.789
2004-01-01,60.083,82.789,64.337,52.9,48.743,55.481
2004-02-01,60.215,82.54,64.286,53.181,49.006,55.579
2004-03-01,60.431,82.393,64.567,53.5,49.295,55.768
2004-04-01,60.473,82.208,64.58,53.621,49.335,55.722
2004-05-01,60.327,81.818,64.204,53.593,49.237,55.454
2004-06-01,59.822,80.731,63.492,53.301,48.791,54.774
2004-07-01,59.363,80.006,62.809,52.966,48.454,54.229
2004-08-01,58.797,79.101,62.17,52.514,47.919,53.573
2004-09-01,58.519,78.606,61.664,52.334,47.682,53.148
2004-10-01,58.257,78.079,61.055,52.215,47.502,52.789
2004-11-01,57.82,77.338,60.299,51.916,47.169,52.295
2004-12-01,57.362,76.627,59.586,51.572,46.765,51.76
2005-01-01,57.089,76.249,59.182,51.349,46.469,51.375
2005-02-01,57.206,76.029,59.204,51.572,46.576,51.405
2005-03-01,57.46,76.016,59.312,51.919,46.702,51.467
2005-04-01,57.666,75.947,59.322,52.242,46.866,51.49
2005-05-01,57.732,75.658,59.176,52.451,46.905,51.425
2005-06-01,57.829,75.543,59.012,52.658,47.097,51.462
2005-07-01,57.892,75.347,58.836,52.834,47.261,51.461
2005-08-01,58.007,75.22,58.8,53.054,47.572,51.602
2005-09-01,58.475,75.398,59.1,53.634,48.404,52.181
2005-10-01,58.874,75.478,59.324,54.16,49.125,52.679
2005-11-01,59.011,75.309,59.402,54.398,49.441,52.835
2005-12-01,59.104,75.295,59.457,54.535,49.645,52.952
2006-01-01,59.319,75.359,59.628,54.797,50.072,53.251
2006-02-01,59.575,75.391,59.867,55.121,50.525,53.601
2006-03-01,60.021,75.686,60.342,55.606,51.27,54.249
2006-04-01,60.359,75.784,60.827,55.988,51.86,54.692
2006-05-01,60.575,75.839,61.114,56.282,52.194,54.963
2006-06-01,60.644,75.853,61.293,56.345,52.294,55.081
2006-07-01,60.678,75.75,61.455,56.395,52.398,55.185
2006-08-01,60.797,75.791,61.709,56.513,52.607,55.402
2006-09-01,61.31,76.242,62.533,56.981,53.25,56.096
2006-10-01,61.949,76.62,63.365,57.656,54.129,56.894
2006-11-01,62.578,76.979,64.188,58.324,55.035,57.791
2006-12-01,62.934,77.202,64.704,58.694,55.344,58.166
2007-01-01,63.204,77.348,64.951,59.003,55.706,58.483
2007-02-01,63.393,77.448,65.232,59.206,55.93,58.713
2007-03-01,63.651,77.689,65.584,59.457,56.268,59.067
2007-04-01,63.877,77.89,66.079,59.637,56.513,59.355
2007-05-01,63.915,77.996,66.355,59.607,56.484,59.426
2007-06-01,63.924,78.024,66.56,59.573,56.461,59.472
2007-07-01,63.984,78.141,66.838,59.57,56.504,59.621
2007-08-01,64.063,78.272,67.004,59.618,56.591,59.749
2007-09-01,64.255,78.567,67.56,59.71,56.636,60.001
2007-10-01,64.406,78.819,67.971,59.781,56.669,60.182
2007-11-01,64.497,79.032,68.311,59.79,56.615,60.315
2007-12-01,64.54,79.11,68.489,59.798,56.554,60.345
2008-01-01,64.64,79.213,68.756,59.86,56.668,60.55
2008-02-01,64.819,79.478,69.143,59.972,56.82,60.875
2008-03-01,65.237,80.031,69.922,60.27,57.211,61.439
2008-04-01,65.614,80.413,70.48,60.612,57.575,61.97
2008-05-01,65.801,80.606,70.888,60.751,57.682,62.187
2008-06-01,66.014,80.9,71.439,60.87,57.703,62.401
2008-07-01,66.157,81.073,71.817,60.952,57.744,62.538
2008-08-01,66.263,81.112,72.162,61.023,57.742,62.62
2008-09-01,66.508,81.327,72.602,61.232,57.796,62.792
2008-10-01,66.594,81.352,72.75,61.339,57.667,62.734
2008-11-01,66.371,81.207,72.574,61.089,57.097,62.299
2008-12-01,65.624,80.775,71.909,60.248,55.562,61.039
2009-01-01,65.007,80.531,71.347,59.522,54.629,60.233
2009-02-01,64.863,80.43,71.195,59.372,54.741,60.259
2009-03-01,64.918,80.372,71.127,59.49,55.103,60.465
2009-04-01,65.028,80.376,71.209,59.639,55.447,60.715
2009-05-01,65.161,80.387,71.309,59.813,55.671,60.859
2009-06-01,65.335,80.424,71.394,60.046,56.082,61.185
2009-07-01,65.557,80.489,71.528,60.328,56.576,61.597
2009-08-01,65.873,80.606,71.949,60.675,57.116,62.091
2009-09-01,66.811,81.129,72.799,61.752,58.709,63.493
2009-10-01,67.293,81.366,73.32,62.292,59.35,64.152
2009-11-01,67.674,81.492,73.552,62.777,59.845,64.527
2009-12-01,67.848,81.547,73.691,62.988,60.063,64.68
2010-01-01,68.048,81.621,73.84,63.232,60.394,64.918
2010-02-01,68.472,81.716,74.092,63.777,60.99,65.383
2010-03-01,68.936,81.956,74.641,64.29,61.414,65.887
2010-04-01,69.369,82.261,75.16,64.742,61.714,66.242
2010-05-01,69.652,82.45,75.394,65.054,61.896,66.394
2010-06-01,69.927,82.679,75.714,65.329,61.989,66.52
2010-07-01,70.111,82.764,75.824,65.56,62.029,66.564
2010-08-01,70.364,82.891,76.108,65.845,62.149,66.744
2010-09-01,70.815,83.257,76.6,66.312,62.578,67.204
2010-10-01,71.409,83.64,77.251,66.959,63.298,67.827
2010-11-01,72.152,83.895,77.769,67.891,64.004,68.387
2010-12-01,72.682,84.095,78.087,68.561,64.499,68.791
2011-01-01,73.304,84.394,78.578,69.294,65.232,69.467
2011-02-01,74.489,84.932,79.571,70.71,66.605,70.658
2011-03-01,75.79,85.508,80.389,72.338,67.799,71.646
2011-04-01,76.7,85.818,80.937,73.53,68.252,72.104
2011-05-01,77.334,86.036,81.329,74.347,68.475,72.392
2011-06-01,77.839,86.321,81.647,74.958,68.792,72.709
2011-07-01,78.456,86.658,82.062,75.708,69.56,73.319
2011-08-01,79.308,86.916,82.633,76.828,70.75,74.264
2011-09-01,80.409,87.401,83.47,78.175,72.315,75.505
2011-10-01,81.133,87.737,84.053,79.046,73.064,76.157
2011-11-01,81.554,87.937,84.223,79.604,73.283,76.328
2011-12-01,81.625,88.084,84.252,79.674,73.152,76.254
2012-01-01,81.827,88.254,84.509,79.88,73.114,76.291
2012-02-01,82.135,88.447,84.771,80.229,73.254,76.474
2012-03-01,82.52,88.65,85.141,80.674,73.431,76.669
2012-04-01,82.864,88.828,85.348,81.105,73.449,76.716
2012-05-01,83.015,88.943,85.452,81.282,73.397,76.719
2012-06-01,83.114,89.063,85.552,81.382,73.375,76.724
2012-07-01,83.225,89.166,85.621,81.51,73.338,76.705
2012-08-01,83.311,89.235,85.727,81.599,73.342,76.74
2012-09-01,83.587,89.379,85.935,81.925,73.723,77.05
2012-10-01,84.005,89.553,86.205,82.441,74.202,77.405
2012-11-01,84.328,89.666,86.311,82.868,74.585,77.683
2012-12-01,84.501,89.712,86.384,83.095,74.768,77.828
2013-01-01,84.695,89.818,86.498,83.326,75.014,78.024
2013-02-01,84.924,89.887,86.608,83.626,75.35,78.268
2013-03-01,85.295,90.068,86.837,84.081,75.745,78.616
2013-04-01,85.605,90.202,87.004,84.468,76.058,78.883
2013-05-01,85.765,90.273,87.077,84.67,76.222,79.004
2013-06-01,85.958,90.347,87.156,84.911,76.412,79.163
2013-07-01,86.275,90.497,87.441,85.266,76.904,79.577
2013-08-01,86.763,90.797,87.859,85.808,77.662,80.24
2013-09-01,87.463,90.999,88.35,86.679,78.764,81.09
2013-10-01,88.244,91.389,88.813,87.628,79.948,82.017
2013-11-01,88.815,91.594,89.099,88.357,80.756,82.618
2013-12-01,89.329,91.76,89.284,89.037,81.472,83.108
2014-01-01,89.699,91.911,89.608,89.474,82.125,83.636
2014-02-01,90.127,92.068,89.886,90.005,82.786,84.161
2014-03-01,90.603,92.24,90.22,90.595,83.365,84.658
2014-04-01,90.922,92.407,90.445,90.98,83.669,84.916
2014-05-01,91.053,92.526,90.662,91.09,83.744,85.042
2014-06-01,91.212,92.656,90.807,91.26,83.816,85.117
2014-07-01,91.375,92.82,90.969,91.418,83.909,85.242
2014-08-01,91.58,93.013,91.237,91.608,84.098,85.461
2014-09-01,91.893,93.241,91.52,91.948,84.405,85.775
2014-10-01,92.195,93.412,91.801,92.287,84.77,86.094
2014-11-01,92.449,93.556,91.98,92.585,85.073,86.341
2014-12-01,92.748,93.744,92.243,92.918,85.431,86.658
2015-01-01,92.992,93.908,92.53,93.169,85.78,86.987
2015-02-01,93.31,94.066,92.859,93.523,86.314,87.427
2015-03-01,93.862,94.494,93.375,94.11,87.198,88.187
2015-04-01,94.44,94.892,93.902,94.748,88.153,88.946
2015-05-01,94.834,95.162,94.273,95.181,88.782,89.525
2015-06-01,95.344,95.435,94.68,95.769,89.578,90.214
2015-07-01,95.83,95.786,95.238,96.265,90.274,90.888
2015-08-01,96.25,96.148,95.569,96.716,90.948,91.463
2015-09-01,96.783,96.439,95.969,97.338,91.826,92.176
2015-10-01,97.174,96.752,96.415,97.73,92.364,92.703
2015-11-01,97.655,97.051,96.711,98.297,93.146,93.311
2015-12-01,97.908,97.206,96.85,98.6,93.603,93.648
2016-01-01,98.096,97.341,97.019,98.809,93.944,93.929
2016-02-01,98.279,97.473,97.164,99.014,94.258,94.227
2016-03-01,98.424,97.558,97.29,99.178,94.526,94.456
2016-04-01,98.532,97.613,97.365,99.308,94.744,94.627
2016-05-01,98.643,97.655,97.451,99.439,94.984,94.815
2016-06-01,98.739,97.714,97.539,99.538,95.241,95.019
2016-07-01,98.838,97.766,97.645,99.639,95.47,95.201
2016-08-01,98.931,97.83,97.738,99.728,95.631,95.34
2016-09-01,99.029,97.909,97.844,99.823,95.81,95.502
2016-10-01,99.204,98.003,97.964,100.025,96.112,95.746
2016-11-01,99.39,98.052,98.047,100.263,96.374,95.945
2016-12-01,99.458,98.083,98.066,100.345,96.5,96.028
2017-01-01,99.493,98.088,98.071,100.381,96.557,96.07
2017-02-01,99.516,98.103,98.089,100.404,96.583,96.094
2017-03-01,99.539,98.134,98.128,100.415,96.624,96.139
2017-04-01,99.558,98.15,98.154,100.43,96.697,96.196
2017-05-01,99.585,98.168,98.181,100.456,96.804,96.276
2017-06-01,99.651,98.194,98.229,100.521,97.111,96.5
2017-07-01,99.727,98.237,98.356,100.584,97.454,96.773
2017-08-01,99.786,98.287,98.404,100.636,97.799,97.013
2017-09-01,99.828,98.383,98.504,100.644,97.956,97.168
2017-10-01,99.882,98.495,98.601,100.67,98.137,97.331
2017-11-01,99.902,98.603,98.638,100.654,98.338,97.51
2017-12-01,99.914,98.648,98.749,100.631,98.507,97.679
2018-01-01,99.93,98.668,98.907,100.607,98.687,97.838
2018-02-01,99.941,98.751,98.98,100.582,98.806,98.008
2018-03-01,99.933,98.821,98.996,100.541,98.922,98.134
2018-04-01,99.912,98.875,99.108,100.462,98.914,98.276
2018-05-01,99.858,98.956,99.132,100.346,98.845,98.284
2018-06-01,99.801,98.966,99.164,100.24,98.809,98.294
2018-07-01,99.759,99.072,99.317,100.102,98.843,98.467
2018-08-01,99.747,99.088,99.378,100.057,99.016,98.631
2018-09-01,99.91,99.35,99.745,100.126,99.603,99.364
2018-10-01,100.01,99.54,99.844,100.184,100.078,99.801
2018-11-01,100.045,99.669,99.976,100.166,100.197,100.025
2018-12-01,100.035,99.895,100.039,100.066,100.101,100.032
2019-01-01,100.0,100.0,100.0,100.0,100.0,100.0
2019-02-01,99.841,100.075,99.945,99.754,99.66,99.828
2019-03-01,99.677,100.113,99.892,99.507,99.378,99.685
2019-04-01,99.517,100.109,99.863,99.268,99.215,99.601
2019-05-01,99.427,100.166,99.823,99.122,99.117,99.596
2019-06-01,99.327,100.149,99.812,98.97,99.043,99.57
2019-07-01,99.263,100.213,99.799,98.855,99.073,99.589
2019-08-01,99.259,100.217,99.841,98.833,99.189,99.757
2019-09-01,99.245,100.164,99.821,98.832,99.318,99.924
2019-10-01,99.3,100.17,99.879,98.896,99.554,100.134
2019-11-01,99.375,100.204,99.92,98.988,99.763,100.319
2019-12-01,99.53,100.279,100.095,99.152,100.141,100.672
2020-01-01,99.694,100.404,100.13,99.352,100.496,100.962
2020-02-01,99.87,100.407,100.243,99.575,100.753,101.122
2020-03-01,100.045,100.418,100.323,99.809,100.939,101.3
2020-04-01,100.124,100.436,100.358,99.912,101.008,101.394
2020-05-01,100.186,100.45,100.424,99.985,101.066,101.458
2020-06-01,100.458,100.686,100.736,100.251,101.422,101.841
2020-07-01,100.898,100.786,101.016,100.817,102.437,102.53
2020-08-01,101.427,101.038,101.547,101.397,103.644,103.631
2020-09-01,102.306,101.238,102.152,102.485,105.812,105.276
2020-10-01,103.151,101.923,103.282,103.255,107.249,106.698
2020-11-01,104.886,102.823,105.011,105.14,110.216,109.252
2020-12-01,106.043,103.249,105.711,106.608,112.406,110.887
2021-01-01,106.925,103.545,106.306,107.688,114.116,112.229
2021-02-01,107.73,103.887,106.959,108.651,115.372,113.272
2021-03-01,108.482,104.244,107.504,109.541,116.295,114.047
